,Category,Show,Synopsis
45,Positive,Evita,"Evita is a musical with music by Andrew Lloyd Webber and lyrics and book by Tim Rice. It concentrates on the life of Argentine political leader Eva Perón, the second wife of Argentine president Juan Perón. The story follows Evita's early life, rise to power, charity work, and eventual death.
The musical began as a rock opera concept album released in 1976. Its success led to productions in London's West End in 1978, winning the Laurence Olivier Award for Best Musical, and on Broadway a year later, where it was the first British musical to receive the Tony Award for Best Musical.
This has been followed by a string of professional tours and worldwide productions and numerous cast albums, as well as a major 1996 film of the musical starring Madonna and Antonio Banderas. The musical was revived in London in 2006, and on Broadway in 2012, and toured the UK again in 2013–14 before running for 55 West End performances at the Dominion Theatre in September–October 2014."
46,Positive,Fiddler On The Roof 2015,"Fiddler on the Roof is a musical with music by Jerry Bock, lyrics by Sheldon Harnick, and book by Joseph Stein, set in the Pale of Settlement of Imperial Russia in 1905. It is based on Tevye and his Daughters (or Tevye the Dairyman) and other tales by Sholem Aleichem. The story centers on Tevye, the father of five daughters, and his attempts to maintain his Jewish religious and cultural traditions as outside influences encroach upon the family's lives. He must cope both with the strong-willed actions of his three older daughters, who wish to marry for love – each one's choice of a husband moves further away from the customs of their Jewish faith and heritage – and with the edict of the Tsar that evicts the Jews from their village.
The original Broadway production of the show, which opened in 1964, had the first musical theatre run in history to surpass 3,000 performances. Fiddler held the record for the longest-running Broadway musical for almost 10 years until Grease surpassed its run. It remains the seventeenth longest-running show in Broadway history. The production was extraordinarily profitable and highly acclaimed. It won nine Tony Awards, including Best Musical, score, book, direction and choreography. It spawned five Broadway revivals and a highly successful 1971 film adaptation and has enjoyed enduring international popularity. It has also been a popular choice for school and community productions."
47,Neutral,Finding Neverland,"Finding Neverland is an original musical with music and lyrics by Scott Frankel and Michael Korie and a book by James Graham. Inspired by the 1998 play The Man Who Was Peter Pan by Allan Knee and his 2004 adaptation Finding Neverland, the musical made its world premiere at the Curve Theatre in Leicester in 2012, with the reworked version making its world premiere in 2014 at the American Repertory Theater in Cambridge, Massachusetts. Following completion of its Cambridge run, the production transferred to Broadway in March 2015.
After 17 months on Broadway, the production of Finding Neverland closed on August 21, 2016, and began a US national tour in October 2016."
48,Neutral,First Date,"First Date is a musical with a book by Austin Winsberg and music and lyrics by Alan Zachary and Michael Weiner.  Based around the concept of a blind date, the musical made its world premiere during 2012 at Seattle's ACT Theatre in a 5th Avenue Theatre co-production and made its Broadway debut August 8, 2013 at the Longacre Theatre."
49,Positive,Follies '11,"Follies is a musical with music and lyrics by Stephen Sondheim and a book by James Goldman.  The story concerns a reunion in a crumbling Broadway theatre, scheduled for demolition, of the past performers of the ""Weismann's Follies"", a musical revue (based on the Ziegfeld Follies), that played in that theatre between the World Wars.  It focuses on two couples, Buddy and Sally Durant Plummer and Benjamin and Phyllis Rogers Stone, who are attending the reunion. Sally and Phyllis were showgirls in the Follies. Both couples are deeply unhappy with their marriages.  Buddy, a traveling salesman, is having an affair with a girl on the road; Sally is still as much in love with Ben as she was years ago; and Ben is so self-absorbed that Phyllis feels emotionally abandoned.  Several of the former showgirls perform their old numbers, sometimes accompanied by the ghosts of their former selves. The musical numbers in the show have been interpreted as pastiches of the styles of the leading Broadway composers of the 1920s ands '30s, and sometimes as parodies of specific songs.
The Broadway production opened on April 4, 1971, directed by Harold Prince and Michael Bennett, and with choreography by Bennett.  The musical was nominated for eleven Tony Awards and won seven.  The original production, the most costly performed on Broadway to that date, ran for over 500 performances but ultimately lost its entire investment.  The musical has had a number of major revivals, and several of its songs have become standards, including ""Broadway Baby"", ""I'm Still Here"", ""Too Many Mornings"", ""Could I Leave You?"", and ""Losing My Mind""."
50,Positive,Fun Home,"Fun Home is a musical adapted by Lisa Kron and Jeanine Tesori from Alison Bechdel's 2006 graphic memoir of the same name. The story concerns Bechdel's discovery of her own sexuality, her relationship with her gay father, and her attempts to unlock the mysteries surrounding his life. It is the first Broadway musical with a lesbian protagonist. It is told in a series of non-linear vignettes connected by narration provided by the adult Alison character.
The musical was developed through several readings and performances, including at the Ojai Playwrights Conference in 2009 and at the Sundance Theatre Lab and The Public Theater's Public Lab in 2012. It opened Off-Broadway at the Public Theater in September 2013 to positive reviews. Its run was extended several times, until January 2014. The Public Theater production of Fun Home was nominated for nine Lucille Lortel Awards (winning three, including Outstanding Musical), two Obie Awards and eight Drama Desk Awards, among others.
The original Broadway production began previews at the Circle in the Square Theatre in March 2015 and opened in April 2015. It was nominated for twelve Tony Awards, winning five, including Best Musical, and its cast album received a nomination for the 2016 Grammy Award for Best Musical Theater Album. The production closed on September 10, 2016. A US national tour and foreign productions followed."
51,Positive,Ghost,"Ghost the Musical is a musical with book and lyrics by Bruce Joel Rubin and music and lyrics by Dave Stewart and Glen Ballard.
Based on the hit 1990 romantic fantasy thriller film of the same name, the musical had its world premiere at the Manchester Opera House in Manchester in March 2011. Ghost then began its West End premiere in summer 2011, opening on 19 July. A Broadway transfer opened in April 2012. It toured the UK in 2013, after the London production closed in October 2012.
The plot centres on lovers Sam and Molly, who are attacked as they are returning to their apartment. When Sam dies he becomes caught between the real world and the next. Molly is in danger and Sam cannot leave her. A medium, Oda Mae Brown, helps Sam to get in touch with Molly to warn her."
52,Negative,Gigi,"Gigi is a musical with a book and lyrics by Alan Jay Lerner and music by Frederick Loewe. It is based on the novella Gigi by Colette and 1958 hit musical film of the same name.  The story concerns Gigi, a free-spirited teenaged girl living in Paris at the turn of the 20th century.  She is being groomed as a courtesan in her family's tradition. Before she is deemed ready for her social debut, she encounters the bon vivant bachelor Gaston Lachaille, whom she captivates as she is transformed into a charmingly poised young lady.
The original Broadway production, produced by Edwin Lester in 1973, ran for a disappointing 103 performances but won the Tony Award for Best Score.  A West End production played in 1985.
A new production of the musical, adapted by Heidi Thomas and directed by Eric D. Schaeffer, premiered at the Kennedy Center (Washington, DC) in January 2015, and ran on Broadway from April 8 to June 21, 2015 at the Neil Simon Theatre."
53,Negative,Glory Days,"Glory Days is a musical with music and lyrics by Nick Blaemire and a book by James Gardiner about four high school friends reuniting a year after graduation. The musical opened at the Signature Theatre in 2008 and was then produced on Broadway in 2008 but closed after one regular performance.

"
54,Positive,Godspell,"Godspell is a musical composed by Stephen Schwartz with the book by John-Michael Tebelak. The show opened off-Broadway on May 17, 1971, and has since been produced by multiple touring companies and in many revivals. The 2011 revival played on Broadway from October 13, 2011 through June 24, 2012. 
The musical is structured as a series of parables, primarily based on the Gospel of Matthew. However, four of the featured parables are only recorded in the Gospel of Luke, and the narrative of the woman taken in adultery is only in the Gospel of John. The parables are interspersed with music set primarily to lyrics from traditional hymns, with the passion of Christ appearing briefly near the end of the show. 
Godspell began as a project by the drama students at Carnegie Mellon University, then moved to the off-off-Broadway theater La MaMa Experimental Theatre Club in the East Village of Manhattan. The show was then re-scored for an off-Broadway production, which became a long-running success. An abbreviated one-act version of the musical has been produced under the title Godspell Junior.Several cast albums have been released over the years. ""Day by Day"", from the original cast album, reached #13 on the Billboard pop singles chart in the summer of 1972.

"
55,Positive,Gypsy '08,"Gypsy is a 1959 musical with music by Jule Styne, lyrics by Stephen Sondheim, and a book by Arthur Laurents.  Gypsy is loosely based on the 1957 memoirs of Gypsy Rose Lee, the famous striptease artist, and focuses on her mother, Rose, whose name has become synonymous with ""the ultimate show business mother."" It follows the dreams and efforts of Rose to raise two daughters to perform onstage and casts an affectionate eye on the hardships of show business life. The character of Louise is based on Lee, and the character of June is based on Lee's sister, the actress June Havoc.  
The musical contains many songs that became popular standards, including ""Everything's Coming up Roses"", ""Together (Wherever We Go)"", ""Small World"", ""You Gotta Get a Gimmick"", ""Let Me Entertain You"", ""All I Need Is the Girl"", and ""Rose's Turn"". It is frequently considered one of the crowning achievements of the mid-20th century's conventional musical theatre art form, often called the ""book musical"".
Gypsy has been referred to as the greatest American musical by numerous critics and writers, among them Ben Brantley (""what may be the greatest of all American musicals..."") and Frank Rich. Rich wrote that ""Gypsy is nothing if not Broadway's own brassy, unlikely answer to King Lear."" Theater critic Clive Barnes wrote that ""Gypsy is one of the best of musicals..."" and described Rose as ""one of the few truly complex characters in the American musical."""
56,Positive,Hair,"Hair:  The American Tribal Love-Rock Musical is a rock musical with a book and lyrics by Gerome Ragni and James Rado   and music by Galt MacDermot. A product of the hippie counterculture and sexual revolution of the late 1960s, several of its songs became anthems of the anti-Vietnam War peace movement.  The musical's profanity, its depiction of the use of illegal drugs, its treatment of sexuality, its irreverence for the American flag, and its nude scene caused much comment and controversy.  The musical broke new ground in musical theatre by defining the genre of ""rock musical"", using a racially integrated cast, and inviting the audience onstage for a ""Be-In"" finale.Hair tells the story of the ""tribe"", a group of politically active, long-haired hippies of the ""Age of Aquarius"" living a bohemian life in New York City and fighting against conscription into the Vietnam War.  Claude, his good friend Berger, their roommate Sheila and their friends struggle to balance their young lives, loves, and the sexual revolution with their rebellion against the war and their conservative parents and society.  Ultimately, Claude must decide whether to resist the draft as his friends have done, or to succumb to the pressures of his parents (and conservative America) to serve in Vietnam, compromising his pacifist principles and risking his life.
After an off-Broadway debut on October 17, 1967, at Joseph Papp's Public Theater and a subsequent run at the Cheetah nightclub from December 1967 through January 1968, the show opened on Broadway in April 1968 and ran for 1,750 performances.  Simultaneous productions in cities across the United States and Europe followed shortly thereafter, including a successful London production that ran for 1,997 performances. Since then, numerous productions have been staged around the world, spawning dozens of recordings of the musical, including the 3 million-selling original Broadway cast recording. Some of the songs from its score became Top 10 hits, and a feature film adaptation was released in 1979. A Broadway revival opened in 2009, earning strong reviews and winning the Tony Award and Drama Desk Award for Best Revival of a Musical. In 2008, Time wrote, ""Today Hair seems, if anything, more daring than ever."""
57,Positive,Hairspray,"Hairspray is an American musical with music by Marc Shaiman, lyrics by Scott Wittman and Shaiman and a book by Mark O'Donnell and Thomas Meehan, based on John Waters’s 1988 film of the same name. The songs include 1960s-style dance music and ""downtown"" rhythm and blues.  In 1962 Baltimore, Maryland, plump teenager Tracy Turnblad's dream is to dance on The Corny Collins Show, a local TV dance program based on the real-life Buddy Deane Show.  When Tracy wins a role on the show, she becomes a celebrity overnight, and meets a colorful group of characters, leading to social change as Tracy campaigns for the show's integration.
In 2003 it won eight Tony Awards, including one for Best Musical, out of 13 nominations. It ran for 2,642 performances, and closed on January 4, 2009.  Hairspray has also had national tours, a West End production, and numerous foreign productions and was adapted as a 2007 musical film.  The London production was nominated for a record-setting eleven Laurence Olivier Awards, winning four, including Best New Musical."
58,Positive,Hamilton (musical),"Hamilton: An American Musical is a sung-and-rapped through musical about the life of American Founding Father Alexander Hamilton, with music, lyrics and book by Lin-Manuel Miranda, inspired by the 2004 biography Alexander Hamilton by historian Ron Chernow. Incorporating hip hop, R&B, pop, soul, traditional-style show tunes, and color-conscious casting of non-white actors as the Founding Fathers and other historical figures, the musical achieved both critical acclaim and box office success.
The musical made its Off-Broadway debut at The Public Theater in February 2015, where its engagement was sold out. The show transferred to Broadway in August 2015 at the Richard Rodgers Theatre. On Broadway, it received enthusiastic critical reception and unprecedented advance box office sales. In 2016, Hamilton received a record-setting 16 Tony nominations, winning 11, including Best Musical, and was also the recipient of the 2016 Grammy Award for Best Musical Theater Album and the 2016 Pulitzer Prize for Drama. The prior Off-Broadway production of Hamilton won the 2015 Drama Desk Award for Outstanding Musical as well as seven other Drama Desk Awards out of 14 total nominated categories.
The Chicago production of Hamilton began preview performances at the CIBC Theatre in September 2016 and officially opened the following month. The West End production of Hamilton opened at the Victoria Palace Theatre in London in December 2017, winning seven Olivier Awards in 2018, including Best New Musical. The first U.S. national tour of the show began performances in March 2017. A second U.S. tour opened in February 2018. Hamilton's third U.S. tour began January 11, 2019, with a 3-week engagement  in Puerto Rico featuring Miranda in the lead role. Forbes reported that a German-language production of the musical is scheduled to open in Hamburg during the fall of 2020."
59,Neutral,Hands On A Hardbody,"Hands on a Hardbody is a musical based on S.R. Bindler's documentary film Hands on a Hardbody. The book is by Doug Wright, music by Trey Anastasio and Amanda Green, lyrics by Amanda Green. The documentary was adapted into a musical commissioned by La Jolla Playhouse, La Jolla, California."
60,Positive,Hedwig And The Angry Inch,"Hedwig and the Angry Inch is a rock musical with music and lyrics by Stephen Trask and a book by John Cameron Mitchell. The musical follows Hedwig Robinson, a transgender East German singer of a fictional rock and roll band. The story draws on Mitchell's life as the son of a U.S. Army Major General who once commanded the U.S. sector of occupied West Berlin. The character of Hedwig was inspired by a German divorced U.S. Army wife who was Mitchell's family babysitter and moonlighted as a prostitute at her trailer park home in Junction City, Kansas. The music is steeped in the androgynous 1970s glam rock style of David Bowie (who co-produced the Los Angeles production of the show), as well as the work of John Lennon and early punk performers Lou Reed and Iggy Pop.
The musical opened Off-Broadway in 1998, and won the Obie Award and Outer Critics Circle Award for Best Off-Broadway Musical. The production ran for two years, and was remounted with various casts by the original creative team in other US cities. In 2000, the musical had a West End production, and it has been produced throughout the world in hundreds of stage productions.
In 2014, the show saw its first Broadway incarnation, opening that April at the Belasco Theatre and winning the year's Tony Award for Best Revival of a Musical. The production closed on September 13, 2015. A national tour of the show began at San Francisco's Golden Gate Theatre in October 2016 before closing at the Kennedy Center in July 2017."
61,Neutral,Holler If Ya Hear Me,Holler If Ya Hear Me is a jukebox musical written by Todd Kreidler featuring the rap music of Tupac Shakur.
62,Neutral,Honeymoon In Vegas,Honeymoon in Vegas is a musical with a book by Andrew Bergman and music and lyrics by Jason Robert Brown. The musical is based on the 1992 movie of the same name which Bergman also wrote and directed. The musical had its world premiere at the Paper Mill Playhouse and premiered on Broadway in January 2015.
63,Positive,How To Succeed In Business Without Really Trying '11,"How to Succeed in Business Without Really Trying is a musical by Frank Loesser and book by Abe Burrows, Jack Weinstock, and Willie Gilbert, based on Shepherd Mead's 1952 book of the same name. The story concerns young, ambitious J. Pierrepont Finch, who, with the help of the book How to Succeed in Business Without Really Trying, rises from window washer to chairman of the board of the World Wide Wicket Company.
The musical, starring Robert Morse and Rudy Vallee, opened at the 46th Street Theatre on Broadway in October 1961, running for 1,417 performances. The show won seven Tony Awards, the New York Drama Critics Circle award, and the 1962 Pulitzer Prize for Drama.
In 1967, a film based on the musical was released by United Artists, with Morse and Vallee re-creating their stage roles.
A 1995 revival was mounted at the same theatre as the original production (now named the Richard Rodgers Theatre). It ran for 548 performances and starred Matthew Broderick and Megan Mullally. A 50th-anniversary Broadway revival directed and choreographed by Rob Ashford and starring Daniel Radcliffe and John Larroquette opened on March 27, 2011, at the Al Hirschfeld Theatre and ran for 473 performances."
64,Positive,If/Then,"If/Then is a musical with a libretto by Brian Yorkey and a theatrical score by Tom Kitt, directed by Michael Greif. It tells the story of a 38-year-old woman named Elizabeth who moves back to New York City for a fresh start.
If/Then began previews on Broadway at the  Richard Rodgers Theatre on March 5, 2014, opened on March 30, 2014, and closed on March 22, 2015, a total of 401 performances and 29 previews. The cast recording was released by Masterworks Broadway on June 3, 2014, and debuted at number 19 on the Billboard 200, the highest-charting Broadway cast recording since the cast recording of Rent was released in 1996.If/Then started its national tour in Denver, Colorado on October 13, 2015. On January 27th, 2016, Jackie Burns replaced Idina Menzel as Elizabeth for the remainder of the tour."
65,Positive,In The Heights,"In the Heights is a musical with music and lyrics by Lin-Manuel Miranda and book by Quiara Alegría Hudes. The story is set over the course of three days, involving characters in the largely Hispanic-American neighborhood of Washington Heights in New York City.
After a 2005 tryout in Waterford, Connecticut and a 2007 Off-Broadway run, the show opened on Broadway in March 2008. It was nominated for thirteen Tony Awards and won four, including the 2008 Best Musical, Best Original Score, and Best Choreography awards. A film adaptation of the musical is set for release in Summer 2020."
66,Neutral,It Shoulda Been You,"It Shoulda Been You is a musical with music by Barbara Anselmi and book and lyrics by Brian Hargrove. The musical ran on Broadway from March 17, 2015 (previews) to August 9, 2015. The musical involves a wedding which brings together the families who are quite, and comically, different."
67,Positive,Jekyll & Hyde '13,"Jekyll & Hyde is a musical horror-drama loosely based on the novella Strange Case of Dr Jekyll and Mr Hyde by Robert Louis Stevenson. Originally conceived for the stage by Frank Wildhorn and Steve Cuden, it features music by Wildhorn, a book by Leslie Bricusse and lyrics by Wildhorn, Bricusse and Cuden. After a world premiere run in Houston, Texas, the musical embarked on a national tour of the United States prior to its Broadway debut in 1997. Many international productions in various languages have since been staged including two subsequent North American tours, two tours in the United Kingdom, a concert version and re-vamped US tour in 2012 ahead of a 2013 Broadway revival."
68,Positive,Jersey Boys,"Jersey Boys is a 2005 jukebox musical with music by Bob Gaudio, lyrics by Bob Crewe, and book by Marshall Brickman and Rick Elice. It is presented in a documentary-style format that dramatizes the formation, success and eventual break-up of the 1960s rock 'n' roll group The Four Seasons. The musical is structured as four ""seasons"", each narrated by a different member of the band who gives his own perspective on its history and music. Songs include ""Big Girls Don't Cry"", ""Sherry"", ""December 1963 (Oh, What A Night)"", ""My Eyes Adored You"", ""Stay"", ""Can't Take My Eyes Off You"", ""Working My Way Back to You"" and ""Rag Doll"", among others.
The musical ran on Broadway from 2005 to 2017, and since its debut it has been on two North American national tours and two national tours of The UK and Ireland. There have been productions of the show in London's West End, Las Vegas, Chicago, Toronto, Melbourne and other Australian cities, Singapore, South Africa, The Netherlands, Japan, Dubai, and China.  Jersey Boys won four 2006 Tony Awards including Best Musical, and the 2009 Laurence Olivier Award for Best New Musical."
69,Neutral,Jesus Christ Superstar '12,"Jesus Christ Superstar Live in Concert is an American musical television special that was broadcast live on NBC on April 1, 2018 (Easter Sunday). Executive produced by Craig Zadan, Neil Meron, Andrew Lloyd Webber, Tim Rice, and Marc Platt, it was a staged concert performance of the 1970 rock opera Jesus Christ Superstar."
70,Positive,Kinky Boots,"Kinky Boots is a Broadway musical with music and lyrics by Cyndi Lauper and a book by Harvey Fierstein. 
Based on the 2005 British film Kinky Boots, written by Geoff Deane and Tim Firth and inspired by true events, the musical tells the story of Charlie Price. Having inherited a shoe factory from his father, Charlie forms an unlikely partnership with cabaret performer and drag queen Lola to produce a line of high-heeled boots and save the business. In the process, Charlie and Lola discover that they are not so different after all.
Following the show's conception in 2006, the creative team was assembled by 2010. The original production of Kinky Boots premiered at the Bank of America Theatre in Chicago in October 2012, with both direction and choreography by Jerry Mitchell, and starring Stark Sands and Billy Porter as Charlie and Lola, respectively. It made its Broadway debut at the Al Hirschfeld Theatre on April 4, 2013, following previews that began on March 3, 2013. The musical began its US tour in 2014.
Having initially been less well received by theatre critics and at the box office than another 2013 Broadway production, Matilda the Musical, Kinky Boots entered the 2013 awards season as an underdog. However, less than a month after opening, Kinky Boots surpassed this rival with audiences in weekly box office gross and later enjoyed a post-Tony boost in advance sales.  The production earned a season-high 13 nominations and 6 Tony wins, including Best Musical and Best Score for Lauper in her first outing as a Broadway songwriter, making her the first woman to win alone in that category. The musical's cast album premiered at number one on the Billboard Cast Albums Chart and number fifty-one on the Billboard 200 chart. In 2016, it won three Laurence Olivier Awards, including Best New Musical."
71,Positive,La Cage Aux Folles '10,"La Cage aux Folles (French pronunciation: ​[la kaʒ o fɔl]) is a musical with a book by Harvey Fierstein and lyrics and music by Jerry Herman. Based on the 1973 French play of the same name by Jean Poiret, it focuses on a gay couple: Georges, the manager of a Saint-Tropez nightclub featuring drag entertainment, and Albin, his romantic partner and star attraction, and the farcical adventures that ensue when Georges's son, Jean-Michel, brings home his fiancée's ultra-conservative parents to meet them. La cage aux folles literally means ""the cage of mad women"". However, folles is also a slang term for effeminate homosexuals (queens).
The original 1983 Broadway production received nine nominations for Tony Awards and won six, including Best Musical, Best Score and Best Book. The success of the musical spawned a West End production and several international runs. The 2004 Broadway revival won the Tony Award for Best Revival, and the 2008 London revival garnered the Laurence Olivier Award for Best Musical Revival. The 2010 Broadway revival was nominated for eleven Tony Awards, winning the Tony Award for Best Revival of a Musical. La Cage aux Folles is the first musical which has won the Tony Award for Best Revival of a Musical twice and it has won a Best Musical Tony Award (Best Musical or Best Revival of a Musical) for each of its Broadway productions. The show has garnered five nominations for Tony Award for Best Actor in a Musical from its three Broadway productions, twice for portrayers of Georges and three times for portrayers of Albin, winning the award twice (both for actors playing Albin)."
72,Neutral,Leap Of Faith,"Leap of Faith is a stage musical based on the 1992 American movie of the same name, which starred Steve Martin. The music is by Alan Menken, with lyrics by Glenn Slater and a book by Janus Cercone and Slater about a con man posing as a man of faith, who is redeemed by the love of a good woman.
The musical premiered in September 2010 in Los Angeles for a limited run through October, directed and choreographed by Rob Ashford. The musical opened on Broadway in April 2012."
73,Negative,Legally Blonde,"Legally Blonde is a musical with music and lyrics by Laurence O'Keefe and Nell Benjamin and book by Heather Hach. The story is based on the novel Legally Blonde by Amanda Brown and the 2001 film of the same name. It tells the story of Elle Woods, a sorority girl who enrolls at Harvard Law School to win back her ex-boyfriend Warner. She discovers how her knowledge of the law can help others, and successfully defends exercise queen Brooke Wyndham in a murder trial. Throughout the show, no one has faith in Elle Woods, but she manages to surprise them when she defies expectations while staying true to herself.
Legally Blonde premiered in pre-Broadway tryouts in San Francisco, California. In April 2007 the show moved to Broadway, opening to mixed reviews and disappointing sales. Jerry Mitchell directed and choreographed. The original cast starred Laura Bell Bundy as Elle, Christian Borle as Emmett and Richard H. Blake as Warner. It received seven Tony nominations and ten Drama Desk nominations but did not win any. The West End production opened in January 2010 at the Savoy Theatre. The West End production was nominated for five Laurence Olivier Awards and won three, including the Best New Musical award.
The musical was recorded in September 2007 and aired on MTV in October 2007. Following this, a reality television program was aired showing the audition process for the next person to play Elle Woods on Broadway. The winner was Bailey Hanks, who played the role from July 23, 2008 until the production closed on October 19, 2008. The runner-up, Autumn Hurlbert, was Hanks' understudy."
74,Neutral,Lysistrata Jones,"Lysistrata Jones is a musical comedy adaptation of Aristophanes' comedy Lysistrata. The book is by Douglas Carter Beane and the score is by Lewis Flinn.  After a critically acclaimed off-Broadway run with Transport Group Theatre Company, the show opened on Broadway in December 2011 and closed in January 2012. The show tells the tale of the men on a losing college basketball team whose cheerleader girlfriends refuse to have sex with them until they win a game."
75,Positive,Mamma Mia!,"Mamma Mia! (promoted as Benny Andersson & Björn Ulvaeus' Mamma Mia!) is a jukebox musical written by British playwright Catherine Johnson, based on the songs of ABBA composed by Benny Andersson and Björn Ulvaeus, former members of the band. The title of the musical is taken from the group's 1975 chart-topper ""Mamma Mia"".  Ulvaeus and Andersson, who composed the original music for ABBA, were involved in the development of the show from the beginning. Singer Anni-Frid Lyngstad has been involved financially in the production and she has also been present at many of the premieres around the world.
The musical includes such hits as ""Super Trouper"", ""Lay All Your Love on Me"", ""Dancing Queen"", ""Knowing Me, Knowing You"", ""Take a Chance on Me"", ""Thank You for the Music"", ""Money, Money, Money"", ""The Winner Takes It All"", ""Voulez-Vous"", ""SOS"" and the title track. Over 60 million people have seen the show, which has grossed $2 billion worldwide since its 1999 debut. A film adaptation starring Meryl Streep, Colin Firth, Pierce Brosnan, Amanda Seyfried, Christine Baranski, Stellan Skarsgård and Julie Walters was released in July 2008.
As of 2018, the show has productions in London's West End, where it is the seventh longest-running show in West End history, as well as various international productions. Its Broadway incarnation closed in September 2015 after a 14-year run, making it the ninth longest-running show in Broadway history."
76,Positive,Mary Poppins,"Mary Poppins is a musical with music and lyrics by Richard M. Sherman and Robert B. Sherman (the Sherman Brothers) and additional music and lyrics by George Stiles and Anthony Drewe, and a script by Julian Fellowes. The musical is based on the similarly titled Mary Poppins children's books by P. L. Travers and the 1964 Disney film, and is a fusion of various elements from the two, including songs from the film.
Produced by Cameron Mackintosh and Walt Disney Theatrical and directed by Richard Eyre with co-direction from Matthew Bourne who also acted as co-choreographer with Stephen Mear, the original West End production opened in December 2004 and won two Olivier Awards, one for Best Actress in a Musical and the other for Best Theatre Choreography. A Broadway production with a near-identical creative team opened in November 2006, with only minor changes from the West End version. It received seven Tony Award nominations, including Best Musical, and won for Best Scenic Design. The original Broadway production closed in March 2013, after 2,619 performances. Touring productions followed.
The musical has become a popular choice for schools and community theatres to produce."
77,Positive,Matilda,"Matilda the Musical is a stage musical based on the 1988 children's novel of the same name by Roald Dahl. It was adapted by Dennis Kelly, with music and lyrics by Tim Minchin. The musical's narrative centres on Matilda, a precocious 5-year-old girl with the gift of telekinesis, who loves reading, overcomes obstacles caused by her family and school, and helps her teacher to reclaim her life. After a twelve-week trial run staged by the Royal Shakespeare Company (RSC) at Stratford-upon-Avon from November 2010 to January 2011, it received its West End premiere on 24 November 2011 at the Cambridge Theatre and its Broadway premiere on 11 April 2013 at the Shubert Theatre.
Matilda has received widespread critical acclaim and box-office popularity, winning seven 2012 Olivier Awards, including Best New Musical—at the time, the most such awards ever won by a single show. At the 2013 Olivier Awards, the show jointly held the record with the play The Curious Incident of the Dog in the Night-Time before both were overtaken by Harry Potter and the Cursed Child in 2017 with 9 awards, however Matilda still holds the record for most Olivier awards won by a musical, tying with Hamilton in 2018. At the 2013 Tony Awards, the show won five awards, including the Tony Award for Best Book of a Musical."
78,Positive,Memphis,"Memphis is a musical by David Bryan (music and lyrics) and Joe DiPietro (lyrics and book). It is loosely based on Memphis disc jockey Dewey Phillips, one of the first white DJs to play black music in the 1950s. It played on Broadway from October 19, 2009 to August 5, 2012.  This production won four 2010 Tony Awards, including Best Musical. The show was previously staged at the North Shore Music Theatre in Beverly, Massachusetts and TheatreWorks in Mountain View, California during the 2003-04 season, as well as the 5th Avenue Theatre in Seattle during the 2008-2009 season."
79,Neutral,Million Dollar Quartet,"Million Dollar Quartet is a jukebox musical with a book by Colin Escott and Floyd Mutrux. It dramatizes the Million Dollar Quartet recording session of December 4, 1956, among early rock and roll/country stars who recorded at Sun studio in Memphis, which are Elvis Presley, Johnny Cash and Carl Perkins, and newcomer Jerry Lee Lewis. The musical opened on Broadway in 2010, after several tryouts and regional productions, and spawned a 2011 West End production."
80,Positive,Monty Python'S Spamalot,"Monty Python's Spamalot is a musical comedy adapted from the 1975 film Monty Python and the Holy Grail.  Like the motion picture, it is a highly irreverent parody of the Arthurian legend, but it differs from the film in many ways. The original 2005 Broadway production, directed by Mike Nichols, received 14 Tony Awards nominations, winning in three categories, including Best Musical. During its initial run of 1,575 performances, it was seen by more than two million people and grossed over $175 million."
81,Neutral,Motown The Musical 2016,"Motown: The Musical is a jukebox musical that premiered on Broadway in April 2013.  The musical is based on Berry Gordy's autobiography To Be Loved: The Music, the Magic, the Memories of Motown (1994), and on the history of his founding and running of the Motown record label, and his personal and professional relationships with Motown artists such as Diana Ross, Smokey Robinson, Marvin Gaye, and Michael Jackson. The production's music and lyrics are taken from selections from the Motown catalog. It received four nominations at the 67th Tony Awards."
82,Neutral,Newsies,"Newsies The Musical is a musical based on the 1992 musical film Newsies, which in turn was inspired by the real-life Newsboys Strike of 1899 in New York City. The show has music by Alan Menken, lyrics by Jack Feldman, and a book by Harvey Fierstein based on film's screenplay by Bob Tzudiker and Noni White. The musical premiered at the Paper Mill Playhouse in 2011 and made its Broadway debut in 2012, where it played for more than 1,000 performances before touring."
